document_id,meeting_id,title,document_type,file_name,file_url,upload_date,doc_date,notes
29,29,PZ&DB Meeting Minutes - 2026-02-10,Minutes,02102026 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/02102026%20PZDB%20Minutes.pdf,,2026-02-10,
30,30,PZ&DB Meeting Minutes - 2025-02-11,Minutes,02112025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/02112025%20PZDB%20Minutes.pdf,,2025-02-11,
31,31,PZ&DB Meeting Minutes - 2024-02-13,Minutes,02132024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/02132024%20PZDB%20Minutes.pdf,,2024-02-13,
32,32,Village Council Meeting Minutes - 2017-02-15,Minutes,021517 Council Meeting  Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/021517%20Council%20Meeting%20%20Approved%20Minutes.pdf,,2017-02-15,
33,33,Village Council Meeting Minutes - 2023-02-15,Minutes,02152023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/02152023%20minutes.pdf,,2023-02-15,
34,34,Village Council Meeting Minutes - 2022-02-16,Minutes,02162022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/02162022%20minutes.pdf,,2022-02-16,
35,35,Village Council Meeting Minutes - 2025-02-19,Minutes,02192025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/02192025.pdf,,2025-02-19,
36,36,PZ&DB Meeting Minutes - 2023-02-21,Minutes,02212023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/02212023%20PZDB%20Minutes.pdf,,2023-02-21,
37,37,Village Council Meeting Minutes - 2024-02-21,Minutes,02212024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02212024%20minutes.pdf,,2024-02-21,
38,38,Village Council Workshop Minutes - 2017-02-22,Minutes,022217 Council Workshop Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/022217%20Council%20Workshop%20Minutes.pdf,,2017-02-22,
39,39,Village Council Meeting Minutes - 2016-02-24,Minutes,02242016 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/02242016%20minutes.pdf,,2016-02-24,
40,40,Village Council Meeting Minutes - 2021-02-24,Minutes,02242021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/02242021%20minutes.pdf,,2021-02-24,
41,41,Joint Workshop Minutes - 2017-02-28,Minutes,022817 Joint Workshop with Bonita Springs City Council Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/022817%20Joint%20Workshop%20with%20Bonita%20Springs%20City%20Council%20Approved%20Minutes.pdf,,2017-02-28,
42,42,Village Council Meeting Minutes - 2021-02-03,Minutes,0232021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/0232021%20minutes.pdf,,2021-02-03,
43,43,Village Council Meeting Minutes - 2017-03-01,Minutes,030117 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/030117%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-03-01,
44,44,Village Council Meeting Minutes - 2023-03-01,Minutes,03012023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/03012023%20minutes.pdf,,2023-03-01,
