type_id,type_name,description
1,Village Council,Regular Village Council meeting
2,Planning Zoning & Design Board,"Combined planning, zoning, and design review board meeting"
3,Public Hearing,Public input sessions on proposed projects
4,Workshop,Informational workshops for Council and boards
