AgendaItemID,MeetingDate,ProjectTitle,LocationName,Location,ActionTaken,Document_Link
1229,2016-07-13,"Case No. DCI 2014-00023 Via Coconut Ordinance No. 2016-09 An Ordinance of the Village Council of the Village of Estero, Florida, (Approving) (Denying) A Rezoning from Agricultural District (AG-2) and Community Facilities (CFD) to Estero Planned Developmen",00023 Via Coconut Ordinance No,"00023 Via Coconut Ordinance No, Estero, FL",The case was continued to a future date,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/071316%20Council%20Meeting%20Approved%20Minutes.pdf
957,2021-06-08,"Lee Health Medical Building - Shoppes at University Highlands (DOS2021-E003) (District 5) 19511 Highlands Oaks Drive, located on the southwest corner of Everblades Parkway South and Ben Hill Griffin Parkway. Request Development Order to build a 20,000± sq",19511 Highlands Oaks Drive,"19511 Highlands Oaks Drive, Estero, FL","No formal action recorded. Lee Health Medical Building - Shoppes at University Highlands (DOS2021-E003) (District 5) 19511 Highlands Oaks Drive, located on the southwest corner of Everblades Parkway South and Ben Hill Griffin Parkway. Request Development Order to build a 20,000± square foot medical building on a vacant parcel which is part of the partially developed Shoppes at University Highlands. A Public Information Meeting was held January 27, 2021. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: John Conroy, South Real Estate Group  __________________________ Public Comment: None. Board Questions or Comments: Board Members Wallace, Sheeley, Naratil, Tatooles, and Chairman Levitan",https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/06082021%20PZDB%20Minutes.pdf
1232,2021-07-13,"Lee Health Medical Building - Shoppes at University Highlands (DOS2021-E003) (District 5) 19511 Highlands Oaks Drive, located on the southwest corner of Everblades Parkway South and Ben Hill Griffin Parkway. Applicant is requesting a development order to ",19511 Highlands Oaks Drive,"19511 Highlands Oaks Drive, Estero, FL",Approved the Development Order with the stipulation staff is given a color sample of the stone and make sure it is coordinated with base color,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/07132021%20PZDB%20Minutes.pdf
1277,2015-07-22,"Presentation - Metropolitan Planning Organization (MPO) (Mayor Batos) Don Scott, Executive Director, explained that the MPO was a transportation policy making board which included representatives from the cities of Bonita Springs, Cape Coral, Fort Myers, ",1962 Federal Aid Highway,"1962 Federal Aid Highway, Estero, FL","No formal action recorded. Presentation - Metropolitan Planning Organization (MPO) (Mayor Batos) Don Scott, Executive Director, explained that the MPO was a transportation policy making board which included representatives from the cities of Bonita Springs, Cape Coral, Fort Myers, Sanibel, Town of Fort Myers Beach, Village of Estero, and Lee County Commissioners. He stated that, based on State and Federal laws, the MPO was responsible for establishing a continuing, cooperative, and comprehensive transportation planning process for Lee County, and that Federal and State transportation funding flowed through the MPO. Mr. Scott noted that the MPO had four staff members and was funded 95% from Federal funds. Mr. Scott provided background information regarding the MPO: the 1962 Federal Aid Highway Act required each urbanized area with a population of 50,000 or more to establish an MPO as a condition of receiving federa",https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/072215%20Workshop%20Approved%20Minutes.pdf
1774,2021-10-12,"Trust Bank Monument Sign (formerly BBT Bank) (District 7) 20280 Grand Oaks Shoppes Boulevard located north of Corkscrew Road, and just north of Dunkin Donuts on east side of Ben Hill Griffin Parkway",20280 Grand Oaks Shoppes Boulevard,"20280 Grand Oaks Shoppes Boulevard, Estero, FL",Approved the design for the monument and directional signs,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/10122021%20PZDB%20Minutes.pdf
78,2026-01-14,"Bonita Smoke Shop & Cigar Lounge - COP Administrative Amendment (ADD2026 E001) (District 6) 23050 Via Villagio, Suite 101 - Coconut Point Mall, located at the corner of Plaza Del Lago and Via Villagio, in the same building as Five Guys Restaurant. Applica",23050 Via Villagio,"23050 Via Villagio, Estero, FL",Approved request for outdoor Consumption on Premises with staff stipulations,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01142026%20PZDB%20Minutes.pdf
355,2026-03-10,"Benjamin S. MacFarland/SROA Corkscrew Village (DOS2025-E008) (District 6) 8900 Commons Way, a ± 5-acre site in the South Estero Commercial Center, located east of US 41 and south of Corkscrew Road, south of the Publix Shopping Center. Applicant seeks a De",8900 Commons Way,"8900 Commons Way, Estero, FL","No formal action recorded. Benjamin S. MacFarland/SROA Corkscrew Village (DOS2025-E008) (District 6) 8900 Commons Way, a ± 5-acre site in the South Estero Commercial Center, located east of US 41 and south of Corkscrew Road, south of the Publix Shopping Center. Applicant seeks a Development Order to construct a two-story, 75,910 square foot storage building as the final phase of a pre-existing self-storage facility. were sworn in by Land Use Attorney Augello.  Staff Presentation/Comments Mary Gibbs, Community Development Director Eric Wishart, Development Review Manager Presentation/Information by Beau Raich, Storage Rentals of America (SROA) Sina Ebrahimi, Kimley-Horn and Associates Todd Lucas, Rapid Design Build Public Comment None Board Questions or Comments Board Members Jeannin, Tatooles, Wallace, Williams, and Vice Chairman Sheeley. 8",https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/PZDB/03102026%20PZDB%20Minutes.pdf
