ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
Corkscrew Road,Regular Council Meeting,2016-04-20,2016,Accepted,"Approved the agenda | Adopted Ordinance No. 2016-02 as amended | Accepted all submissions, appointed the Village Manager, Finance Director and Community Development Director as the interview committee, directed the committee to interview each firm (these would be posted and public interviews), and return to the Council with a staff recommendation. Further, the submission deadline for proposals was extended three weeks for the purpose of soliciting additional interested firms for this important project | Awarded the bid to ProAudio Services with the recommended add-ons | Authorized the Village Manager to submit a letter to Lee County requesting support for traffic control for Bella Terra and Corkscrew Road, the sidewalk project on Estero Parkway, and resurfacing Estero Parkway | Approved commencing Council meetings at 9:30 a.m. beginning with the first meeting in April and move zoning hearings from the second Wednesday of the month to the third Wednesday of the month",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-04-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/032316%20Council%20Meeting%20Approved%20Minutes.pdf,2016-03-23,Corkscrew Road Widening Corridor,26.436300,-81.770100
General Council Business,Regular Council Meeting,2015-03-27,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-03-27,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/03272015%20minutes.pdf,2015-03-27,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2016-05-04,2016,Accepted,Approved the agenda | Passed first reading and transmittal of Ordinance No. 2016-04,9:30 am,DA/MI,Village Council Meeting Minutes — 2016-05-04,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/033016%20Council%20Meeting%20Approved%20Minutes.pdf,2016-03-30,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Regular Council Meeting,2025-04-16,2025,Accepted,"Approved agenda | Approved consent agenda | Adopted Resolution No. 2025-06 | Adopted the First Amendment | Authorized a deeper solicitation process to search for additional, complimentary sports, entertainment and recreational partners within the Village Center Hub | Approved award of Contract EC 2022-33 Change Order 01 to RWA Engineering to provide additional professional services to update design changes | Approved the BERT Memorandum of Agreement and to authorize the Village Manager to approve any minor revisions requested by the other partners to the agreement | Approved Ordinance No. 2025-03 on First Reading and schedule Second Reading for April 16, 2025",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-04-16,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/04022025.pdf,2025-04-02,BERT Rail Trail Corridor,26.433900,-81.815700
General Council Business,Regular Council Meeting,2024-04-17,2024,Accepted,"Approved agenda | Approved consent agenda | Selected Al Paivandy, James E Tatooles, and Leonard E Scotty Wood III to a one-year term to the Planning, Zoning, and Design Board members, Dan Williams, Anthony Gargano, and Michael Sheeley to a three-year term to the Planning Zoning and Design Board and approve Resolution No. 2024-04 | Selected Anthony Gargano as Chairperson of the Planning Zoning and Design Board | Approved the Framework of Cooperation Between the Village of Estero and the Estero Forever Foundation | Approved EC 2024-29 Wright Construction Group Piggyback Agreement for Construction Manager At Risk services and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary | Approved EC 2019-66 STA-44 in the amount of $57,500 with P & T Lawn & Tractor to relocated twelve palm trees at Jeff Sommer Stadium, approve a $5,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2022-38 STA-13 in the amount of $175,486 with Johnson Engineering to perform construction site inspections for all projects within the Village of Estero, approve a $17,000 contingency for additi",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-04-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04032024%20minutes.pdf,2024-04-03,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2023-04-19,2023,Accepted,Elected Vice Mayor McLain as Mayor | Elected Councilmember Ribble as Vice Mayor | Approved agenda with item 14a starting at 11:00 am | Approved the Consent Agenda | Adopted Resolution No. 2023-07 | Adopted Resolution No. 2023-08,9:30 am,ON/CO,Village Council Meeting Minutes — 2023-04-19,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/04052023%20minutes.pdf,2023-04-05,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-04-06,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-04-06,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/040615%20Regular%20Meeting%20Minutes.pdf,2015-04-06,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Regular Council Meeting,2022-04-20,2022,Accepted,"Approved agenda | Approved the Consent Agenda | Adopted Resolution 2022-03 which approves the updated Multijurisdictional Program for Public Information related to flood hazards | Approved final Plat for Estero Crossing | Approved final Plat for Rivercreek Phase One (formerly known as Corkscrew Crossing) | Approved Resolution No. 2022-05 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue | Approved Resolution No. 2022-06 Commercial Contract for the Purchase of Real Estate from Gess Family Partnership + Gulf Coast Driving Range LLC, Located at 9000 Williams Road, Estero, Florida | Approved the following list of short-listed firms listed below. Delegate authority to staff to interview these firms on April 11, 2022, and Council to interview the top 2 candidates individually. • Nason Yeager Gerson Harris & Fumero, P.A. • Roetzel & Andress, LPA • Trask Daigneault, LLP • Vose Law Firm LLP | Excused Vice Mayor McLain from the April 13 and April 20, 2022 Village Council meetings",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-04-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/04062022%20minutes.pdf,2022-04-06,Cypress Bend Septic Area,26.446900,-81.811600
General Council Business,Council Workshop,2015-04-07,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-04-07,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/040715%20Workshop%20Minutes.pdf,2015-04-07,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-04-21,2021,Accepted,"Approved agenda | Approved the Consent Agenda | Approved Resolution 2021-10 | Approved Resolution 2021-12 | Approved award of Request for Bids No. RFB 2021-02, US 41 Landscape Improvements Broadway East to Vintage Parkway and Coconut Road to Fountain Lakes Boulevard to P & T Lawn and Tractor Service, Inc. at a Grand Total Cost of $118,075, approve a contingency fund amount of $11,800 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract and any other related ancillary documents on behalf of the Village of Estero Council | Approved award of Supplemental Task Authorization (STA) - 02 Contract EC 2020-61 to KCA under the Village's Misc. Service Contract CN 2020-01 in the amount of $469,099, approve a contingency fund amount of $47,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA and any other related ancillary documents on behalf of the Village of Estero Council | Approved award of Supplemental Task Authorization (STA) 06 to Contract EC 2020-48 to CW3 Engineering under the Village's Misc. Service Contract CN 2020-01 in the amount of $54,000, approve a contingency fund amount of $5,400 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the STA and any other related ancillar",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-04-21,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/04072021%20minutes.pdf,2021-04-07,Estero Village Hall,26.428500,-81.806800
General Council Business,Council Workshop,2015-04-10,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-04-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/041015%20Workshop%20Minutes.pdf,2015-04-10,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2022-04-13,2022,Accepted,Approved agenda,9:30 am,DA/MI,Village Council Meeting Minutes — 2022-04-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/04132022%20minutes.pdf,2022-04-13,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-04-17,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-04-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/04172015%20minutes.pdf,2015-04-17,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Regular Council Meeting,2024-05-01,2024,Accepted,"Approved agenda | Approved consent agenda | Approved EC 2024-06 STA-05 in the amount of $81,000 with Florida Acquisition & Appraisal, Inc. to assist the Village in obtaining easement and property required to construction the Broadway Ave East UEP Areas 2 & 3, approve a $8,100 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved the Assignment and Amendment of the License Agreement for Sandy Lane Right of Way Occupation, Drainage Pipe Construction and Maintenance agreement with Seminole Gulf Railway and authorize the Village Manager to execute the agreement on behalf of the Village Council | Approved continuance to May 1, 2024",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-05-01,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04172024%20minutes.pdf,2024-04-17,Cypress Bend Septic Area,26.446900,-81.811600
BERT Rail Trail,Regular Council Meeting,2023-05-03,2023,Accepted,"Approved agenda with combining 4a into 8a, 8b, and 8c | Approved the Consent Agenda | Adopted Resolution No. 2023-09 | Approved the award of Supplemental Task authorization 04 to Contract EC 2023-38 to Johnson Engineering, Inc. for the Phase 1 Estero Parkway Reuse Main Design, Permit and Grant Funding Assistance at a cost of $89,858.00, approve a $9,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Approved the consultants ranking for Williams Road Widening Preliminary Design and Engineering Project as follows: Number 1 - Kisinger Campo & Associates; Number 2 - Q. Grady Minor & Associates; Number 3 - Kimley-Horn and Associates, authorize staff to negotiate a contract with the Number 1 ranked firm, Kisinger Campo & Associates, to provide professional consulting services for the Williams Road Widening Preliminary Design and Engineering Project | Approved the revised Hagerty Consulting, Inc. contract and authorize the Village Manager to execute the contract document on behalf of the Village of Estero Council. Grant the Village Manager the authority to renegotiate and execute the renewal of this contract for four additional one-year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero",9:30 am,ON/KE,Village Council Meeting Minutes — 2023-05-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/04192023%20%20minutes.pdf,2023-04-19,BERT Rail Trail Corridor,26.433900,-81.815700
General Council Business,Regular Council Meeting,2016-05-18,2016,Accepted,"Approved the agenda | Approved the Consent Agenda | Accepted Roger Strelow's resignation, with thanks from the Council for all of his service, past and present, and accepted his offer to remain on the Board until appointment of a new Board Member",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-05-18,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/042016%20Council%20Meeting%20Approved%20Minutes.pdf,2016-04-20,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Regular Council Meeting,2022-04-20,2022,Accepted,"Approved motion to permit Councilmember Wilson to participate remotely in Zoom Presentation | Approved agenda with the deletion of Action Item 7e | Approved the Consent Agenda | Adopted Resolution No. 2022-08 to purchase the 10-acre vacant parcel, commonly known as ""River Oaks"" at the east end of Broadway Avenue | Amendment One to Contract No. EC 2020-31 for Estero on the River Structure Demolition and updating contract to keep structure #6, the bomb shelter | Approved the contract EC 2020-48 STA 10 with CW3 Engineering to provide design and permitting services for the Williams Road Bicycle/Pedestrian Improvements Project in the amount of $358,790, approve a contingency fund amount of $36,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract with CW3 Engineering and any other related ancillary documents on behalf of the Village Council | Approved Ben Hill Griffin Parkway Improvements contracts with Bruce Howard and Associates under EC2020-42 STA - 07 and CW3 Engineering under EC2020-48 STA - 09 to perform landscape architecture and engineering services for the proposed improvements along Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-04-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/04202022%20minutes.pdf,2022-04-20,Cypress Bend Septic Area,26.446900,-81.811600
General Council Business,Regular Council Meeting,2015-04-24,2015,Accepted,No action found,9:30 am,AN/RI,Village Council Meeting Minutes — 2015-04-24,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/04242015%20minutes.pdf,2015-04-24,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Regular Council Meeting,2024-05-15,2024,Accepted,"Approved agenda with noting a replacement of Resolution for 7(e), 2024-08 that has been added to the desk packet as the consultants recommended more detailed language to the resolution but the substance has not changed | Approved consent agenda | Approved Construction Manager at Risk agreement between Village of Estero and Manhattan Construction, Inc. for Williams Road and Atlantic Gulf Blvd Intersection Project and to authorize the Village Manager to execute the agreement and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by Council, at a later date | Approved Construction Manager at Risk agreement between Village of Estero and Chris-Tel Construction, Inc. for the Sandy Lane Bike/Ped Improvements Project and to authorize the Village Manager to execute the agreement with an effective date of July 1, 2024 and any related documents or amendments as may be necessary, except for the Guaranteed Maximum Price amendment, which will be approved by Council, at a later date | Approved of the attached Resolution will give credibility to the Village of Estero interest in this acquisition. It can also be used as the necessary financial match for Federal and State grants | Adopted Resolution No. 2024-07 | Approved Resolution No. 2024-08 authorizing the Village Manager to perform various duties including accepting and authorizing CDBG-DR grants from HUD and administered by Lee County | Approved Resolution No",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-05-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05012024%20minutes.pdf,2024-05-01,BERT Rail Trail Corridor,26.433900,-81.815700
General Council Business,Regular Council Meeting,2022-05-04,2022,Accepted,"Approved agenda | Approved the Consent Agenda | Approve Misc. Contractor Services contract EC 2019-66 STA 21 with P & T Lawn & Tractor Services for $109,872 to replace trees along US 41 and provide additional landscape maintenance work on medians 22-24, approve a contingency fund amount of $11,000 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Approved Misc. Contractor Services contract EC 2019-59 STA 08 with Cougar Contracting, LLC for $52,815 for the repair of sidewalks along Via Coconut Point and Williams Road, approve a contingency fund amount of $5,300 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Approved Resolution No. 2022-07 which amends Resolution No. 2015-68 | Passed first reading of Ordinance 2022-02 and set second reading for May 18, 2022",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-05-04,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/05042022%20minutes.pdf,2022-05-04,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2025-05-21,2025,Accepted,"Approved agenda | Approved consent agenda | Approved sending notification letter and affidavit signed by Mayor to Florida Department of Commerce | Approved the award of Contract 25035 with LandDesign, Inc. to prepare the Village of Estero Eco-Historic planning study for $430,000, approve a $43,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council | Approved the award of landscaping, mowing and irrigation services for Village roadways for P & T Lawn & Tractor, for an amount not to exceed $2,896,517.52 annually, approve a $200,000 Contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the purchase order and other additional implementing documents on behalf of the Village of Estero Council | Approved awards of landscaping, mowing and irrigation services for Village roadways for Mainscape, Inc., in an amount not to exceed $1,432,600 annually, and to P & T Lawn & Tractor, for an amount not to exceed $581,107 annually | Approved GMP Addendum 2 for contract EC 2024-12 CMAR for Wright Construction to complete the site work and utility installation for the Estero Entertainment Campus for $ 9,536,910 and authorize the Village Manager to sign the contract and other additional implementation documents within the scop",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-05-21,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/05072025.pdf,2025-05-07,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-05-08,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-05-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/05082015%20minutes.pdf,2015-05-08,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2017-05-15,2017,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2017-05-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/051517%20Council%20Meeting%20Approved%20Minutes.pdf,2017-05-15,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-05-15,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-05-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/05152015%20minutes.pdf,2015-05-15,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Regular Council Meeting,2024-06-05,2024,Accepted,"Approved agenda with the deletion of the Financial Reports from the Consent Agenda and will be presented June 5th Council meeting | Approved consent agenda | Approved Resolution No. 2024-05 | Approved the Village Manager to execute the High-5 Public Improvement Agreement | Approved that Wright Construction Group is granted a Notice to Proceed on their phase 1 construction costs based on GMP#1 | Passed First Reading of Ordinance No. 2024-06 and set second reading for June 5, 2024",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-06-05,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05152024%20minutes.pdf,2024-05-15,BERT Rail Trail Corridor,26.433900,-81.815700
General Council Business,Regular Council Meeting,2017-05-17,2017,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2017-05-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/051717%20Council%20Meeting%20Approved%20Minutes.pdf,2017-05-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2023-06-07,2023,Accepted,"Approved agenda with the deletion of 12(b) from the agenda | Approved the Consent Agenda | Approved the Agreement for Sale of Mitigation Bank Credits with Corkscrew Mitigation, LLC for 0.83 credits at a cost of $157,700, and authorize the Village Manager to sign the agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council | Passed second reading of Ordinance No. 2023-05",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-06-07,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/05172023%20%20minutes.pdf,2023-05-17,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2016-06-01,2016,Accepted,"Approved the agenda, with a revision to address Agenda Item 4 (b)(l) prior to 4 (a)(l) | Approved the Consent Agenda | Adopted Ordinance No. 2016-05, amending the Commercial Planned Development Zoning Resolution No. Z-09-037, Section 2.B, as revised by including a statement that this approval is unique to this particular petition and is not to be considered a precedent in other matters | Approved first reading of Ordinance No. 2016-06 and advanced to second reading and public hearing on June 1, 2016 | Adopted Resolution No. 2016-10 establishing a Village Credit Card Account with SunTrust | Awarded RFP 2016-01 - Village Traffic Study to Kimley-Horn and authorized the Village Manager, with the assistance of staff, to negotiate a contract to be reviewed by Council at a later date | Approved the letter of support to be sent to Office of Environmental Services Division of State Lands, Department of Environmental Protection as revised with the language suggested by Mayor Batos | No one on the Council shall participate in discussions about the issues involving roads and continuation of the Interlocal Agreement in the second budget year, except for the Village Manager, until the Council has had a public discussion/workshop and Council decides to delegate authority to one Councilmember",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-06-01,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/051816%20Council%20Meeting%20Approved%20Minutes.pdf,2016-05-18,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-05-19,2021,Accepted,Approved agenda | Approved the Consent Agenda | Approved the final plat,9:30 am,DA/MI,Village Council Meeting Minutes — 2021-05-19,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/05192021%20minutes.pdf,2021-05-19,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-05-20,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-05-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/052015%20Regular%20Meeting%20Minutes.pdf,2015-05-20,Estero Village Hall,26.428500,-81.806800
General Council Business,Council Workshop,2016-05-24,2016,Accepted,No action found,9:30 am,DA/MI,Village Council Meeting Minutes — 2016-05-24,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/052416%20Council%20Workshop%20Meeting%20Approved%20Minutes.pdf,2016-05-24,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-05-26,2021,Accepted,Approved to permit Councilmember Fiesel to participate remotely in Zoom Presentation and to excuse Councilmember Wilson from the meeting today | Approved agenda | Approved the first reading of the ordinance and to transmit the Comprehensive Plan Amendment request to the State reviewing agencies with staff's recommended language,9:30 am,DA/MI,Village Council Meeting Minutes — 2021-05-26,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/05262021%20minutes.pdf,2021-05-26,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2016-08-17,2016,Accepted,"Approved the agenda | Approved the Consent Agenda | Approved Ordinance No. 2016-06 | Approved first reading of Ordinance No. 2016-07 and advanced to second reading and public hearing on June 22, 2016 | Adopted Resolution No. 2016-11 | Adopted Resolution No. 2016-12 | Adopted Resolution No. 2016-13",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-08-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/060116%20Council%20Meeting%20Approved%20Minutes.pdf,2016-06-01,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2022-06-01,2022,Accepted,"Approved agenda | Approved the Consent Agenda | Approved a Joint Resolution with Lee County for participation in CDBG and related Programs, authorize Mayor to sign and forward to Lee County | Approved termination as of June 1, 2022, CN 2020-01 Miscellaneous Professional Services to allow for the immediate use of the firms approved under CN 2022-06 | Approved the recommendation of the evaluation committee to select all 36 consulting firms that submitted Letters of Interest under CN 2022-06, for a contract period of three (3) years (with the option at Council's discretion to renew the agreements, in whole or in part, for a renewal term or terms not to exceed the initial agreement term of 3 years) commencing on June 1, 2022. The firms are listed on Attachment 1 | Authorized the Village Manager to execute agreements for individual projects as needed at or below $50,000 (contracts in excess of $50,000 will require Village Council approval) | Passed Ordinance 2022-03",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-06-01,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/06012022%20minutes.pdf,2022-06-01,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-06-16,2021,Accepted,"Approved agenda with the addition of 7(c) - Letter to Lee County Visitor & Convention Bureau and 7(d) U.S. Army Corps of Engineers | Approved the consent agenda | Approved award of Supplemental Task Authorization (STA) - 04 Contract EC 2020-42 to Bruce Howard & Associates under the Village's Misc. Service Contract CN 2020-01 in the amount of $60,000, approve award of Supplemental Task Authorization (STA) - 03 Contract EC 2020-67 to RWA Engineering under the Village's Misc. Service Contract CN 2020-01 in the amount of $11,700, approve a contingency fund amount of $7,200 (an amount equal to 10% of the total project cost) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the Supplemental Task Authorization and any other related ancillary documents on behalf of the Village of Estero Council | Approved the selection of Provion Inc. as the consultant of record under Request for Information No. RFI 2020-02 Community Development Software Consultant and authorize the Village Manager to negotiate and execute a contract on behalf of the Village of Estero Council for a not-to-exceed amount of $250,000 which covers an approximate time period of 18 months and approve a contingency fund amount of $25,000 (an amount equal to 10% of the total contract cost) to cover unforeseen circumstances which may occur, and approve Resolution 2021-14 | Approved the motion to support The Estero Council of Community Leaders (ECCL) to apply for a grant from the L",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-06-16,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/06022021%20minutes.pdf,2021-06-02,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2015-06-03,2015,Accepted,No action found,9:30 am,null,Village Council Meeting Minutes — 2015-06-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/060315%20Regular%20Meeting%20Approved%20Minutes.pdf,2015-06-03,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2025-06-18,2025,Accepted,"Approved agenda | Approved consent agenda | Passed first reading of Ordinance No. 2025-05 and set second reading for June 18, 2025 | Passed first reading of Ordinance No. 2025-04 and set second reading for July 2, 2025 | Passed first reading of Ordinance No. 2025-06 and Set Public Hearing and Second Reading for June 18, 2025 | Passed first reading of Ordinance No. 2025-08 and Set Public Hearing and Second Reading for June 18, 2025 | Approved continuance to July 2, 2025 for Condition 10 only",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-06-18,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/06042025.pdf,2025-06-04,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Regular Council Meeting,2024-06-19,2024,Accepted,"Approved agenda | Approved consent agenda | Approved the ranking of construction management firms for RFP 2024-04 as 1-Wright Construction and authorize Village Staff to negotiate a contract with the top ranked firm | Approved the ranking of construction management firms for RFP 2024-02 as recommended by the Village of Estero's selection committee. 1- Manhattan Construction, 2-Wright Construction, 3-Chris Tel Construction, 4-Seagate Development Group, 5 Brooks & Freund, and authorize Village Staff to negotiate a contract with the top ranked firm | Approved the ranking of construction management firms for RFP 2024-03 as recommended by the Village's selection committee. 1 - Wright Construction, 2 - AIM Construction, 3 - Chris Tel Construction, 4 - American Infrastructure Services, and authorize Village Staff to negotiate a contract with the top ranked firm | Passed first reading and schedule second reading for June 19, 2024 | Passed Second Reading of Ordinance No. 2024-06",9:30 am,DA/MI,Village Council Meeting Minutes — 2024-06-19,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/06052024%20minutes.pdf,2024-06-05,BERT Rail Trail Corridor,26.433900,-81.815700
General Council Business,Regular Council Meeting,2023-06-21,2023,Accepted,"Approved agenda | Approved the Consent Agenda | Approved the Vieste, LLC Agreement | Approved Village Staff's recommendation to select two firms, Hagerty Consulting and Anser Advisory Consulting, LLC to provide Grant Management Services to the Village of Estero, authorize the Village Manager to execute the attached contracts with Hagerty Consulting and Anser Advisory Consulting, LLC. to provide professional Grant Management Services for a one-year period at the rates listed in the contracts, and authorize the Village Manager to renegotiate and execute the renewal of this contract for four additional one-year terms under the same terms and conditions, if doing so is in the best interest of the Village of Estero | Approved Supplemental Staffing Contract with RVi and Supplemental Task Authorization No. 01 to the Contract for Landscape Maintenance Inspections Services for $60,000, approve a $6,000 contingency (10%) for additional services that may be required to complete the project, and authorize the Village Manager to sign the Contract, STA, and other additional implementing documents within the scope of the Contract and STA on behalf of the Village of Estero Council | Passed First Reading of Ordinance 2023-04 and set Public Hearing and Second Reading for June 21, 2023 | Moved Capital Improvement Hearing and Resolution 2023-11 on to second public hearing on June 21, 2023",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-06-21,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06072023%20%20minutes.pdf,2023-06-07,Estero Village Hall,26.428500,-81.806800
