ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
General Council Business,Regular Council Meeting,2021-01-27,2021,Accepted,"Approved to permit Councilmembers Levitan, Wilson, and McLain to participate remotely in Zoom Presentation | Approved agenda | Approved Resolution No. 2021-01 | Adopted the Land Development Code Ordinance 2020-10 and Official Zoning Map as amended in the ""Addendum of Recommended Changes"" document dated January 19, 2021 as well as the addition of a sentence to Table 3-405.C that states ""A stand-alone car wash which has applied but has not been determined to be complete for an application for Development Order prior to January 27, 2021, and which submits a complete application for Development Order prior to April 27, 2021, a permitted use and not a special exception use shall apply.""",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-01-27,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/01272021%20minutes.pdf,2021-01-27,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-01-06,2021,Accepted,"Approved agenda | Approved the Consent Agenda | Estero Chamber of Commerce approval of financial support for Strategic Plans for Future Growth and Impact. Staff Presentation/Comments: Steve Sarkozy, Village Manager Council Questions or Comments: Councilmember McLain and Mayor Ribble Public Comment: None | Approved motion for financial support Estero Chamber of Commerce Strategic Plans for Future Growth and Impact | Passed first reading of Ordinance No. 2020-11 and schedule second reading/public hearing for January 20, 2020 | Passed first reading of Ordinance No. 2021-01 and schedule second reading/public hearing for January 20, 2020 | Approved motion for a continuance until February 3 with the goal of making a final decision | Adopted Ordinance 2020-07",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-01-06,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/0162021%20Minutes.pdf,2021-01-06,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2023-02-15,2023,Accepted,"Motion to permit Councilmember Wilson to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Passed first reading of Zoning Ordinance 2023-01 and set second reading for February 15, 2023",9:30 am,ON/IN,Village Council Meeting Minutes — 2023-02-15,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/02012023%20minutes.pdf,2023-02-01,Estero Village Hall,26.428500,-81.806800
Septic to Sewer,Regular Council Meeting,2022-02-16,2022,Accepted,"Approved to permit Village Attorney Burt Saunders to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Adopted Resolution No. 2022-02 | Approved the consultants ranking for Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project as follows: Number 1 - Atkins North America, Inc.; Number 2 - CW3 Engineering, Inc.; Number 3 - Kimley-Horn and Associates, Inc.; Number 4 - Q. Grady Minor & Associates, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Atkins North America, Inc. to provide professional consulting services for the Sandy Lane and Broadway East Bicycle/Pedestrian Improvements Project | Approved the consultants ranking for Broadway Avenue West Utilities Extension Project (UEP) as follows: Number 1 - Johnson Engineering, Inc.; Number 2 - Tetra Tech, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Johnson Engineering, Inc. to provide professional consulting services for the Broadway Avenue West Utilities Extension Project (UEP) | Approved the consultants ranking for Broadway Avenue East Utilities Extension Project (UEP) as follows: Number 1 - Tetra Tech, Inc.; Number 2 - Johnson Engineering, Inc.; Number 3 - CW3 Engineering, Inc.; Number 4 - JR Evans Engineering, P.A., and authorize staff to negotiate a contract with the Number 1 ranked firm, Tetra Tech, Inc. to provide professional c",9:30 am,DA/MI,Village Council Meeting Minutes — 2022-02-16,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/02022022%20minutes.pdf,2022-02-02,Broadway Avenue East UEP,26.442000,-81.805400
General Council Business,Regular Council Meeting,2025-02-19,2025,Accepted,"Approved agenda with the deletion of 6 (b) | Approved consent agenda | Approved Resolution No. 2025-01 to reappoint two (2) Planning, Zoning, and Design Board members for a one-year term | Adopted Ordinance No. 2024-14 with staff revisions",9:30 am,ON/CO,Village Council Meeting Minutes — 2025-02-19,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/02052025.pdf,2025-02-05,Estero Village Hall,26.428500,-81.806800
Corkscrew Road,Regular Council Meeting,2024-02-21,2024,Accepted,"Approved agenda | Approved consent agenda | Approved schedule for Planning Zoning and Design Board appointments | Adopted Resolution No. 2024-03 | Approved EC 2024-06 STA -02 in the amount of $47,200 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the Sandy Lane Bike/Ped Improvements Project, approve a $4,700 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2024-06 STA-03 in the amount of $200,600 for Florida Acquisition & Appraisal Inc. to provide easement acquisition services for the River Ranch Road Improvements Project, approve a $20,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute any subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2019-66 STA-42 in the amount of $236,405 for P & T Lawn & Tractor Services, Inc. to install landscaping along US 41 from Williams Road to south of Estero",9:30 am,ON/CO,Village Council Meeting Minutes — 2024-02-21,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02072024%20minutes.pdf,2024-02-07,Corkscrew Road Widening Corridor,26.436300,-81.770100
General Council Business,Regular Council Meeting,2016-03-16,2016,Accepted,"Approved the agenda | Approved the Consent Agenda, revising minutes as necessary | Authorized staff to distribute RFQ 2016-01 | Authorized staff to distribute RFP 2016-01 | Authorized staff to distribute RFP 2016-02 | Appointed Robert King as Village CAC Representative to MPO | Accepted the letter of resignation from Jeffrey Mass dated January 12, 2016 and directed the Village Clerk to advertise the vacancy and solicit applications | Adopted Resolution 2016-05 as amended | Authorized the Mayor to sign the letter and approved and endorsed the white paper entitled ""Caloosahatchee Watershed Regional Water Management Issues."" | Adopted Resolution No. 2016-04",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-03-16,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/021016%20Council%20Regular%20Meeting%20Approved%20Minutes.pdf,2016-02-10,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2022-02-16,2022,Accepted,Approved agenda | Approved the Consent Agenda | Approved the 2021-2022 Interlocal Agreement between Village of Estero and Lee County for Stray Animal Control Services,9:30 am,ON/CO,Village Council Meeting Minutes — 2022-02-16,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/02162022%20minutes.pdf,2022-02-16,Estero Village Hall,26.428500,-81.806800
BERT Rail Trail,Regular Council Meeting,2024-02-21,2024,Accepted,"Approved agenda | Approved consent agenda | Approved a perpetual sidewalk easement agreement with GL Homes to obtain an easement for the path along the River Creek Community and pay GL Homes $104,994.23 after they build the path using asphalt as the material, approve a $10,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the sidewalk easement agreement and other additional implementing documents within the scope of the agreement on behalf of the Village of Estero Council | Passed first reading of Ordinance No. 2024-03 and set second reading for March 6, 2024",9:30 am,ON/CO,Village Council Meeting Minutes — 2024-02-21,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/02212024%20minutes.pdf,2024-02-21,BERT Rail Trail Corridor,26.433900,-81.815700
General Council Business,Regular Council Meeting,2021-02-24,2021,Accepted,"Approved motion to excuse Councilmember Wilson's absence | Approved agenda | Approved Resolution No. 2021-02 and authorize the Village to modify the Resolution if needed | Approved motion to conclude interviews, and schedule the item at the March 3rd meeting, where a final decision will be made",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-02-24,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/02242021%20minutes.pdf,2021-02-24,Estero Village Hall,26.428500,-81.806800
