"Url","FileName","Label","Year"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/pzdb/01132026%20%20PZDB%20Minutes.pdf","01142026 PZDB Minutes.pdf","January 14","2026"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/pzdb/02102026%20%20%20PZDB%20Minutes.pdf","02102026 PZDB Minutes.pdf","February 10","2026"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/pzdb/03102026%20%20%20PZDB%20Minutes.pdf","03102026 PZDB Minutes.pdf","March 10","2026"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2026%20Minutes/December%20minutes.pdf","12152026 PZDB Minutes.pdf","December 15","2026"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/01142025%20PZDB%20Minutes.pdf","01142025 PZDB Minutes.pdf","January 14","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/02112005%20PZDB%20Minutes.pdf","02112025 PZDB Minutes.pdf","February 11","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/03112005%20PZDB%20Minutes.pdf","03112025 PZDB Minutes.pdf","March 11","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/04082005%20PZDB%20Minutes.pdf","04082025 PZDB Minutes.pdf","April 08","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/05132005%20PZDB%20Minutes.pdf","05132025 PZDB Minutes.pdf","May 13","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/06102005%20PZDB%20Minutes.pdf","06102025 PZDB Minutes.pdf","June 10","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/07082005%20%20%20PZDB%20Minutes.pdf","07082025 PZDB Minutes.pdf","July 08","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/08122005%20%20%20PZDB%20Minutes.pdf","08122025 PZDB Minutes.pdf","August 12","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/09092005%20%20%20PZDB%20Minutes.pdf","09092025 PZDB Minutes.pdf","September 9","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/10142005%20%20%20PZDB%20Minutes.pdf","10142025 PZDB Minutes.pdf","October 14","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/11182005%20%20%20PZDB%20Minutes.pdf","11182025 PZDB Minutes.pdf","November 18","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/December%20minutes.pdf","12092025 PZDB Minutes.pdf","December 9","2025"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/Jan%209%20PZDB%20Meeting%20Cancellation%20Notice.pdf","01092024 PZDB cancellation.pdf","January 9","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/02132024%20PZDB%20Minutes.pdf","02132024 PZDB Minutes.pdf","February 13","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/03122024%20PZDB%20Minutes.pdf","03122024 PZDB Minutes.pdf","March 12","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/04092024%20PZDB%20Minutes.pdf","04092024 PZDB Minutes.pdf","April 09","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/05142024%20PZDB%20Minutes.pdf","05142024 PZDB Minutes.pdf","May 14","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf","06112024 PZDB Minutes.pdf","June 11","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/07092024%20PZDB%20Minutes.pdf","07092024 PZDB Minutes.pdf","July 09","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/PZDB%20cancellation.pdf","08132024 PZDB cancellation.pdf","August 13","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/09102024%20PZDB%20Minutes.pdf","09102024 PZDB Minutes.pdf","September 10","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10082024%20PZDB%20cancellation.pdf","10082024 PZDB cancellation.pdf","October 08","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10292024%20PZDB%20Minutes.pdf","10292024 PZDB Minutes.pdf","October 29","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/11122024%20PZDB%20Minutes.pdf","11122024 PZDB Minutes.pdf","November 12","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/12102024%20PZDB%20Minutes.pdf","12102024 PZDB Minutes.pdf","December 10","2024"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/01112022%20PZDB%20Minutes.pdf","01112023 PZDB Minutes.pdf","January 11","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/02212023%20%20PZDB%20Minutes.pdf","02212023 PZDB Minutes.pdf","February 21","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/03142023%20%20PZDB%20Minutes.pdf","03142023 PZDB Minutes.pdf","March 14","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/04112023%20%20PZDB%20Minutes.pdf","04112023 PZDB Minutes.pdf","April 11","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/05092023%20%20%20PZDB%20Minutes.pdf","05092023 PZDB Minutes.pdf","May 9","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/06132023%20%20%20PZDB%20Minutes.pdf","06132023 PZDB Minutes.pdf","June 13","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07112023%20%20%20%20PZDB%20Minutes.pdf","07112023 PZDB Minutes.pdf","July 11","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/07252023%20PZDB%20Minutes.pdf","07252023 PZDB Minutes.pdf","July 25","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/Rescheduled.pdf","08082023 PZDB Rescheduled.pdf","August 8","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/08222023%20PZDB%20Minutes.pdf","08222023 PZDB Minutes.pdf","August 22","2023"
"https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf","09122023 PZDB Minutes.pdf","September 12","2023"
